"Title","08 Communication CP SA £m"
"CDID","ZAWV"
"Source dataset ID","CT"
"PreUnit","£"
"Unit","m"
"Release date","31-03-2021"
"Next release","30 June 2021"
"Important notes",
"1985","4125"
"1986","4730"
"1987","5216"
"1988","5795"
"1989","6350"
"1990","7123"
"1991","7874"
"1992","8430"
"1993","9395"
"1994","10105"
"1995","10799"
"1996","11341"
"1997","12419"
"1998","12801"
"1999","13350"
"2000","14312"
"2001","14381"
"2002","14763"
"2003","15814"
"2004","17251"
"2005","17469"
"2006","18092"
"2007","18241"
"2008","18267"
"2009","17999"
"2010","19146"
"2011","19743"
"2012","20128"
"2013","20016"
"2014","20213"
"2015","20518"
"2016","21531"
"2017","22406"
"2018","22334"
"2019","22132"
"2020","22506"
"1985 Q1","1031"
"1985 Q2","1000"
"1985 Q3","1029"
"1985 Q4","1065"
"1986 Q1","1146"
"1986 Q2","1220"
"1986 Q3","1167"
"1986 Q4","1197"
"1987 Q1","1266"
"1987 Q2","1313"
"1987 Q3","1301"
"1987 Q4","1336"
"1988 Q1","1361"
"1988 Q2","1439"
"1988 Q3","1497"
"1988 Q4","1498"
"1989 Q1","1517"
"1989 Q2","1574"
"1989 Q3","1613"
"1989 Q4","1646"
"1990 Q1","1703"
"1990 Q2","1788"
"1990 Q3","1783"
"1990 Q4","1849"
"1991 Q1","1905"
"1991 Q2","1974"
"1991 Q3","1964"
"1991 Q4","2031"
"1992 Q1","2051"
"1992 Q2","2080"
"1992 Q3","2125"
"1992 Q4","2174"
"1993 Q1","2246"
"1993 Q2","2298"
"1993 Q3","2384"
"1993 Q4","2467"
"1994 Q1","2440"
"1994 Q2","2492"
"1994 Q3","2570"
"1994 Q4","2603"
"1995 Q1","2584"
"1995 Q2","2688"
"1995 Q3","2713"
"1995 Q4","2814"
"1996 Q1","2789"
"1996 Q2","2815"
"1996 Q3","2826"
"1996 Q4","2911"
"1997 Q1","3046"
"1997 Q2","3152"
"1997 Q3","3109"
"1997 Q4","3112"
"1998 Q1","3094"
"1998 Q2","3232"
"1998 Q3","3216"
"1998 Q4","3259"
"1999 Q1","3277"
"1999 Q2","3312"
"1999 Q3","3362"
"1999 Q4","3399"
"2000 Q1","3550"
"2000 Q2","3560"
"2000 Q3","3605"
"2000 Q4","3597"
"2001 Q1","3595"
"2001 Q2","3539"
"2001 Q3","3584"
"2001 Q4","3663"
"2002 Q1","3599"
"2002 Q2","3669"
"2002 Q3","3697"
"2002 Q4","3798"
"2003 Q1","3813"
"2003 Q2","3919"
"2003 Q3","4004"
"2003 Q4","4078"
"2004 Q1","4246"
"2004 Q2","4344"
"2004 Q3","4354"
"2004 Q4","4307"
"2005 Q1","4317"
"2005 Q2","4324"
"2005 Q3","4389"
"2005 Q4","4439"
"2006 Q1","4552"
"2006 Q2","4517"
"2006 Q3","4506"
"2006 Q4","4517"
"2007 Q1","4515"
"2007 Q2","4470"
"2007 Q3","4577"
"2007 Q4","4679"
"2008 Q1","4611"
"2008 Q2","4635"
"2008 Q3","4529"
"2008 Q4","4492"
"2009 Q1","4460"
"2009 Q2","4558"
"2009 Q3","4531"
"2009 Q4","4450"
"2010 Q1","4610"
"2010 Q2","4761"
"2010 Q3","4863"
"2010 Q4","4912"
"2011 Q1","4910"
"2011 Q2","4846"
"2011 Q3","4939"
"2011 Q4","5048"
"2012 Q1","5048"
"2012 Q2","5025"
"2012 Q3","5031"
"2012 Q4","5024"
"2013 Q1","5034"
"2013 Q2","4987"
"2013 Q3","4957"
"2013 Q4","5038"
"2014 Q1","4991"
"2014 Q2","5020"
"2014 Q3","5106"
"2014 Q4","5096"
"2015 Q1","5107"
"2015 Q2","5120"
"2015 Q3","5096"
"2015 Q4","5195"
"2016 Q1","5285"
"2016 Q2","5361"
"2016 Q3","5437"
"2016 Q4","5448"
"2017 Q1","5485"
"2017 Q2","5600"
"2017 Q3","5674"
"2017 Q4","5647"
"2018 Q1","5652"
"2018 Q2","5566"
"2018 Q3","5555"
"2018 Q4","5561"
"2019 Q1","5520"
"2019 Q2","5531"
"2019 Q3","5488"
"2019 Q4","5593"
"2020 Q1","5515"
"2020 Q2","5571"
"2020 Q3","5724"
"2020 Q4","5696"
